Wall time,Step,Value
1658473212.2405016,1,76.13212585449219
1658473214.769214,2,54.58897399902344
1658473219.2006493,3,4.151259899139404
1658473222.0826104,4,32.43697738647461
1658473232.169553,5,-21.026472091674805
1658473233.5397537,6,4.461334705352783
1658473241.5879972,7,3.376833200454712
1658473252.4897313,8,6.954310894012451
1658473256.5792766,9,38.877193450927734
1658473259.9165356,10,55.57373809814453
1658473270.9002383,11,-25.392587661743164
1658473275.1679204,12,-2.2934372425079346
1658473280.424435,13,9.41512393951416
1658473283.3426445,14,86.56866455078125
1658473284.7209454,15,25.911619186401367
1658473289.0235214,16,-75.8700942993164
1658473296.0590708,17,-14.49758243560791
1658473307.3948238,18,-14.174742698669434
1658473317.724979,19,49.709693908691406
1658473319.792698,20,-0.9440286755561829
1658473328.9136271,21,18.354259490966797
1658473332.7568574,22,22.04987144470215
1658473339.3979464,23,40.08709716796875
1658473341.3482716,24,-0.24419742822647095
1658473348.7714229,25,34.149776458740234
1658473357.276382,26,57.95278549194336
1658473361.4680455,27,99.61383056640625
1658473362.873809,28,26.776430130004883
1658473365.4591143,29,10.610854148864746
1658473372.929443,30,77.57152557373047
1658473374.845153,31,51.64384078979492
1658473377.0274405,32,36.41508102416992
1658473379.006376,33,13.218290328979492
1658473384.2817426,34,13.218827247619629
1658473386.1541483,35,26.84952163696289
1658473390.680107,36,54.78211212158203
1658473395.885829,37,16.298294067382812
1658473397.5699494,38,10.022156715393066
1658473399.8607044,39,-1.068394660949707
1658473412.5654542,40,-23.369213104248047
1658473416.016506,41,33.152976989746094
1658473417.438696,42,19.356586456298828
1658473426.6782744,43,-14.835783958435059
1658473430.444903,44,23.037052154541016
1658473434.723491,45,20.240659713745117
1658473436.1479595,46,11.436383247375488
1658473437.859162,47,12.701741218566895
1658473442.1724997,48,101.30571746826172
1658473445.62462,49,32.541622161865234
1658473450.7977033,50,15.45444393157959
1658473452.6493073,51,52.4903450012207
1658473454.7281644,52,8.79909610748291
1658473459.8712833,53,60.479766845703125
1658473461.7011874,54,33.06205749511719
1658473463.502757,55,39.74103546142578
1658473468.0106494,56,86.35474395751953
1658473469.5431104,57,53.775054931640625
1658473470.941612,58,30.405057907104492
1658473475.3416343,59,15.614118576049805
1658473477.9113185,60,57.662960052490234
1658473481.160264,61,68.94718933105469
1658473487.2678528,62,41.83238220214844
1658473491.254995,63,104.94540405273438
1658473492.674406,64,10.987394332885742
1658473500.228537,65,-0.7128193378448486
1658473502.9463415,66,11.252229690551758
1658473504.877709,67,4.247147083282471
1658473508.8257246,68,79.11052703857422
1658473510.655354,69,43.335208892822266
1658473513.9416587,70,106.92803955078125
1658473519.0347536,71,25.61572265625
1658473523.9019883,72,21.022924423217773
1658473526.4265673,73,59.71702194213867
1658473528.4276233,74,11.229741096496582
1658473529.8649793,75,37.53471374511719
1658473531.2440739,76,28.29942512512207
1658473539.0437665,77,22.862051010131836
1658473546.0288055,78,-10.462244987487793
1658473548.9447348,79,88.20037841796875
1658473553.402187,80,9.629473686218262
1658473558.6388738,81,39.2061882019043
1658473571.1602092,82,65.3294677734375
1658473572.7755246,83,19.390661239624023
1658473574.2129614,84,10.285741806030273
1658473576.8269002,85,55.28315353393555
1658473579.2332342,86,52.22319030761719
1658473591.928371,87,-28.28556251525879
1658473593.9973035,88,-2.5835392475128174
1658473595.8360634,89,29.154878616333008
1658473602.3064568,90,15.15565013885498
1658473607.66359,91,-9.045785903930664
1658473610.210592,92,26.003154754638672
1658473611.889823,93,13.295970916748047
1658473616.9209824,94,40.53662109375
1658473620.9539204,95,52.09782791137695
1658473627.488519,96,57.11634826660156
1658473631.4252377,97,73.43595886230469
