Wall time,Step,Value
1661100249.7100472,1,33.49656295776367
1661100253.7917235,2,92.26560974121094
1661100257.726966,3,54.65446853637695
1661100259.489205,4,15.798775672912598
1661100263.0269182,5,21.139963150024414
1661100266.9388347,6,22.78223991394043
1661100268.9591064,7,0.15034320950508118
1661100272.8541968,8,20.223735809326172
1661100278.7602468,9,75.92581939697266
1661100283.1942737,10,52.1796760559082
1661100287.4815547,11,30.654342651367188
1661100290.5605822,12,26.3502140045166
1661100294.4189487,13,76.32546997070312
1661100296.1968563,14,24.137435913085938
1661100299.9097095,15,32.87722396850586
1661100302.2481687,16,12.381377220153809
1661100304.0844414,17,10.50548267364502
1661100307.3268626,18,11.722119331359863
1661100310.1850026,19,33.01593780517578
1661100313.0963607,20,18.995018005371094
1661100314.4329288,21,5.402406215667725
1661100318.5668406,22,-8.187423706054688
1661100320.9931118,23,76.15538024902344
1661100323.622243,24,23.164989471435547
1661100330.7400897,25,42.19331359863281
1661100333.3625536,26,25.308740615844727
1661100336.04622,27,26.01371192932129
1661100337.7381663,28,15.410321235656738
1661100340.670216,29,90.3157730102539
1661100342.787818,30,9.793954849243164
1661100347.1643305,31,36.078819274902344
1661100352.2579803,32,35.89838409423828
1661100358.2265308,33,18.315765380859375
1661100360.0582936,34,-0.09010421484708786
1661100363.1694584,35,32.252262115478516
1661100367.426171,36,-4.285728454589844
1661100370.3152277,37,84.92672729492188
1661100371.678657,38,44.77842712402344
1661100374.7381365,39,71.3044662475586
1661100376.859092,40,35.87492370605469
1661100382.0344558,41,13.30605697631836
1661100387.3493972,42,10.785804748535156
1661100395.8553002,43,-10.377647399902344
1661100398.2196043,44,76.18049621582031
1661100401.6077175,45,3.6210269927978516
1661100405.131781,46,-5.4803032875061035
1661100407.775052,47,49.27581787109375
1661100411.3927872,48,73.77713012695312
1661100414.585454,49,64.6205062866211
1661100417.8144119,50,74.55703735351562
1661100419.616066,51,-2.8473122119903564
1661100427.5570343,52,52.98567581176758
1661100431.1409369,53,57.56776809692383
1661100434.8998613,54,65.54698944091797
1661100437.8412127,55,46.17955780029297
1661100440.6005678,56,42.133155822753906
1661100441.9499924,57,40.64540481567383
1661100444.0394435,58,36.425655364990234
1661100448.0152726,59,81.05201721191406
1661100449.6963527,60,45.515384674072266
1661100452.064936,61,18.94498634338379
1661100453.4108996,62,-1.4029241800308228
1661100456.3312094,63,78.29347229003906
1661100459.6749911,64,22.423643112182617
1661100462.7812276,65,47.01298141479492
1661100464.182916,66,13.518302917480469
1661100467.4434743,67,68.57659912109375
1661100474.0888007,68,75.08049011230469
1661100479.5758946,69,48.24272537231445
1661100483.049852,70,7.3936448097229
1661100487.0474663,71,6.687986850738525
1661100490.5739298,72,43.013465881347656
1661100492.4647033,73,3.324254035949707
1661100493.9723978,74,-5.4828290939331055
1661100495.8486073,75,17.235736846923828
1661100499.791943,76,70.97077941894531
1661100510.884882,77,-36.0567626953125
1661100512.6142285,78,16.482431411743164
1661100517.6975033,79,24.812971115112305
1661100519.8570428,80,30.813119888305664
1661100521.2298956,81,0.9577634334564209
1661100525.9248614,82,-8.335570335388184
1661100529.4758503,83,78.8853530883789
1661100532.5411725,84,30.34453773498535
1661100540.7438226,85,51.90360641479492
1661100546.5980468,86,12.622347831726074
1661100548.514544,87,20.820232391357422
1661100552.56045,88,17.58222198486328
1661100556.1369948,89,39.679683685302734
1661100557.6045444,90,10.814342498779297
1661100560.9347336,91,59.92490005493164
1661100562.2936919,92,-2.4095675945281982
1661100565.0854363,93,18.605541229248047
1661100566.4131653,94,-3.032001256942749
1661100568.0683572,95,-0.7723792195320129
1661100570.2112844,96,9.985821723937988
