Wall time,Step,Value
1661071634.8795462,4,-23.225147247314453
1661071638.467567,5,-51.36052322387695
1661071654.6843286,11,10.763911247253418
1661071664.3157988,15,-107.51941680908203
1661071668.761613,16,-59.70872116088867
1661071682.224108,19,-109.57147216796875
1661071683.9811263,20,34.12923812866211
1661071686.0434914,21,-24.57171630859375
1661071692.3996189,23,-73.0600814819336
1661071694.7992697,24,-104.794921875
1661071702.3736732,27,-26.809404373168945
1661071705.1816165,28,35.595340728759766
1661071748.0968363,39,-82.69744873046875
1661071761.2131908,41,-166.3042755126953
1661071787.6081145,48,-43.704689025878906
1661071789.4473073,49,-23.344276428222656
1661071792.0071473,50,-114.83430480957031
1661071803.4373457,52,-86.73731231689453
1661071811.8677645,55,-26.9617862701416
1661071821.3933606,58,-108.5806655883789
1661071828.0402813,61,-75.22054290771484
1661071830.815836,62,-51.251373291015625
1661071832.2872741,63,24.956727981567383
1661071835.3259895,64,-79.84500122070312
1661071841.243562,66,-54.001285552978516
1661071842.6850774,67,20.750972747802734
1661071844.2799942,68,-16.9421329498291
1661071849.6198497,69,-87.64268493652344
1661071861.0799754,71,-111.44961547851562
1661071863.7038257,72,-83.6281509399414
1661071886.070552,78,31.15459632873535
1661071891.26995,80,-50.934913635253906
1661071901.2805605,83,-29.329233169555664
1661071910.0603392,86,-109.3865737915039
1661071920.812666,90,-43.60211944580078
1661071957.4601653,100,13.845172882080078
1661071968.736806,104,-49.76576614379883
1661071977.0861237,107,38.01060485839844
1661071980.505992,108,-20.010744094848633
1661071986.735729,110,-103.43502044677734
1661072013.4077475,117,-63.95891189575195
1661072026.2021077,122,-84.24593353271484
1661072041.1260653,126,-55.71599197387695
1661072044.0858054,127,-107.24925231933594
1661072047.7582278,129,-77.11846923828125
1661072052.1512835,131,-117.02310943603516
1661072056.741791,132,-48.647953033447266
1661072065.5021515,137,-5.324016094207764
1661072068.666215,138,-86.06094360351562
1661072094.5195222,145,-148.14016723632812
1661072097.6006603,147,42.014549255371094
1661072099.012102,148,14.993575096130371
1661072106.6842167,151,25.1668758392334
1661072135.800032,158,-74.37127685546875
1661072149.5081797,161,-121.55364990234375
1661072165.865075,163,-89.89665985107422
1661072173.6462033,165,-11.102237701416016
1661072190.4799204,171,4.21240758895874
1661072194.5471103,172,-48.505855560302734
1661072198.3153293,173,-22.393041610717773
1661072206.0959373,176,35.55177307128906
1661072212.4007661,178,-72.0435562133789
1661072230.8335211,182,-37.99954605102539
1661072238.1978152,185,-63.94191360473633
1661072241.0152574,186,-28.759416580200195
1661072246.3559494,187,-4.008816719055176
1661072263.2687201,191,-35.21723175048828
1661072269.4496865,192,-43.80488204956055
1661072271.9533644,193,-104.2920150756836
1661072291.0289092,200,-2.0265841484069824
1661072307.624663,203,-85.2477798461914
1661072310.1535132,204,-109.22710418701172
1661072313.5828445,205,-72.55632781982422
1661072317.305262,206,-6.022331714630127
1661072321.4681923,208,-2.951279878616333
1661072333.662832,212,-92.32946014404297
1661072342.3694272,214,-46.87737274169922
1661072348.8551252,216,39.794193267822266
1661072362.1338315,220,17.652050018310547
1661072365.0676644,221,-49.15209197998047
1661072369.7117002,222,-93.80597686767578
1661072383.6546335,225,-68.32259368896484
1661072397.8530197,230,-72.78473663330078
1661072429.9776351,240,-85.03345489501953
1661072435.0026639,242,-60.2601203918457
1661072444.6087632,245,-74.39227294921875
1661072448.5279317,246,-45.01025390625
1661072451.8008819,247,-88.057861328125
1661072474.519535,255,44.07242202758789
1661072486.7556472,259,12.745731353759766
1661072496.6874938,260,-124.94756317138672
1661072500.8330865,261,-77.69441986083984
1661072505.353885,263,-75.09034729003906
1661072527.477346,272,18.928972244262695
1661072535.494797,275,-67.83348083496094
1661072542.470883,277,-77.03028106689453
1661072546.8468692,279,25.676828384399414
1661072554.8139336,281,21.007875442504883
1661072560.7055767,283,-81.07012176513672
1661072562.7261271,284,-95.23568725585938
1661072568.8688087,286,-53.468204498291016
1661072579.0709424,289,-149.93191528320312
1661072585.977844,291,-84.05425262451172
